Equipment ID,Type of Equipment,Name,Cost per item,Total cost,Number in storage?
0,1,Camera,Sony FX30 Cinema Line,"2,100","8,400",4
1,2,Camera,Sony A7 IV Full-Frame Mirrorless,"2,399","7,197",3
2,3,Lens,Sony FE 24-105mm f/4 G OSS,"1,099","2,198",2
3,4,Lens,Sony FE 50mm f/1.8,169,338,2
4,5,Lens,Sony FE 85mm f/1.8,549,549,1
5,6,Lens,Sony FE 16-35mm f/4 ZA OSS,"1,300","1,300",1
6,7,Tripod,Manfrotto 190XPRO4 /w Ball Head,249,"1,743",7
7,8,Memory Card,SanDisk Extreme PRO 128GB SDXC UHS-I,45,720,16
8,9,Audio,R�DE Wireless GO II Microphone Systems,259,777,3
9,10,Audio,R�DE VideoMic NTG Shotgun Microphones,249,747,3
10,11,Lighting,Godox SL60W LED Video Lights,139,556,4
11,12,Lighting,Softboxes with Bowens Mount,80,320,4
12,13,Accessories,Camera Bags (Manfrotto Advanced Gear Backpack),125,625,5
13,14,Accessories,Spare Batteries for Sony Cameras (NP-FZ100),65,650,10
14,15,Accessories,Battery Chargers,70,280,4
15,16,Accessories,Lens Cleaning Kits,20,40,2
16,17,Accessories,External Hard Drives,149,298,2
17,18,Additionals,Green Screen Kit with Stand,150,150,1
18,19,Additionals,Reflector Kits,50,100,2
